cumGXP	cumPXP	econ	lvl	cumTime	cumUnits
500	0	Controls	1	0.1	0
1500	200	Controls	2	0.1	20
3500	600	Controls	3	0.2	60
6500	1200	Controls	4	0.3	120
11000	2000	Controls	5	0.5	200
17750	3000	Controls	6	0.7	300
27875	4200	Controls	7	1	420
43062.5	5600	Controls	8	1.5	541
65843.8	7200	Controls	9	2.2	663
100015.6	9000	Controls	10	3.3	786
141021.9	11000	Controls	11	3.9	910
190229.4	13200	Controls	12	4.6	1035
249278.4	15600	Controls	13	5.3	1161
320137.2	18200	Controls	14	6.4	1288
405167.7	21000	Controls	15	7.5	1416
507204.4	24000	Controls	16	9	1545
629648.4	27200	Controls	17	10.5	1675
776581.2	30600	Controls	18	12.6	1806
952900.6	34200	Controls	19	14.7	1938
1129220	38000	Controls	20	14.3	2071
500	0	Econ1	1	0.06	0
1500	80	Econ1	2	0.17	10
3500	280	Econ1	3	0.39	30
6500	605	Econ1	4	0.72	60
10250	1045	Econ1	5	1.14	105
15500	1695	Econ1	6	1.72	165
22550	2595	Econ1	7	2.51	235
31550	3795	Econ1	8	3.51	306
42800	5395	Econ1	9	4.76	378
56300	7345	Econ1	10	6.26	451
72800	9745	Econ1	11	8.09	525
92300	12645	Econ1	12	10.26	600
115550	16145	Econ1	13	12.84	676
141800	20145	Econ1	14	15.76	753
171050	24645	Econ1	15	19.01	831
203300	29395	Econ1	16	22.59	910
238550	34395	Econ1	17	26.51	990
276800	39645	Econ1	18	30.76	1071
318800	45145	Econ1	19	35.42	1153
364550	50895	Econ1	20	40.51	1236
414050	56895	Econ1	21	46.01	1320
467300	63145	Econ1	22	51.92	1405
524300	69645	Econ1	23	58.26	1491
585050	76395	Econ1	24	65.01	1578
649550	83395	Econ1	25	72.17	1666
717800	90645	Econ1	26	79.76	1666
789800	98145	Econ1	27	87.76	1666
865550	105895	Econ1	28	96.17	1666
945050	113895	Econ1	29	105.01	1666
1029050	121895	Econ1	30	114.34	1666
1117550	129895	Econ1	31	124.17	1666
1210550	137895	Econ1	32	134.51	1666
1308050	145895	Econ1	33	145.34	1666
1410050	153895	Econ1	34	156.67	1666
1516550	161895	Econ1	35	168.51	1666
1627550	169895	Econ1	36	180.84	1666
1743050	177895	Econ1	37	193.67	1666
1863050	185895	Econ1	38	207.01	1666
1987550	193895	Econ1	39	220.84	1666
2116550	201895	Econ1	40	235.17	1666
750	0	Econ2	1	0.08	0
2250	80	Econ2	2	0.25	10
4650	280	Econ2	3	0.52	30
8400	605	Econ2	4	0.93	60
14400	1045	Econ2	5	1.6	105
22650	1695	Econ2	6	2.52	165
33900	2595	Econ2	7	3.77	235
48150	3795	Econ2	8	5.35	306
66900	5395	Econ2	9	7.43	378
90150	7345	Econ2	10	10.02	451
119400	9745	Econ2	11	13.27	525
154650	12645	Econ2	12	17.18	600
195900	16145	Econ2	13	21.77	676
243150	20145	Econ2	14	27.02	753
297900	24645	Econ2	15	33.1	831
360150	29395	Econ2	16	40.02	910
429900	34395	Econ2	17	47.77	990
507150	39645	Econ2	18	56.35	1071
591900	45145	Econ2	19	65.77	1153
685650	50895	Econ2	20	76.18	1236
788400	56895	Econ2	21	87.6	1320
900150	63145	Econ2	22	100.02	1405
1020900	69645	Econ2	23	113.43	1491
1150650	76395	Econ2	24	127.85	1578
1289400	83395	Econ2	25	143.27	1666
1437150	90645	Econ2	26	159.68	1666
1593900	98145	Econ2	27	177.1	1666
1759650	105895	Econ2	28	195.52	1666
1934400	113895	Econ2	29	214.93	1666
2118150	121895	Econ2	30	235.35	1666
2310900	129895	Econ2	31	256.77	1666
2512650	137895	Econ2	32	279.18	1666
2723400	145895	Econ2	33	302.6	1666
2943150	153895	Econ2	34	327.02	1666
3171900	161895	Econ2	35	352.43	1666
3409650	169895	Econ2	36	378.85	1666
3656400	177895	Econ2	37	406.27	1666
3912150	185895	Econ2	38	434.68	1666
4176900	193895	Econ2	39	464.1	1666
4450650	201895	Econ2	40	494.52	1666
500	0	Econ3	1	0.06	0
1500	80	Econ3	2	0.17	8
3500	280	Econ3	3	0.39	23
6500	605	Econ3	4	0.72	45
10250	1045	Econ3	5	1.14	79
15500	1695	Econ3	6	1.72	124
22550	2595	Econ3	7	2.51	176
31550	3795	Econ3	8	3.51	230
42800	5395	Econ3	9	4.76	284
56300	7345	Econ3	10	6.26	338
72800	9745	Econ3	11	8.09	394
92300	12645	Econ3	12	10.26	450
115550	16145	Econ3	13	12.84	507
141800	20145	Econ3	14	15.76	565
171050	24645	Econ3	15	19.01	623
203300	29395	Econ3	16	22.59	683
238550	34395	Econ3	17	26.51	743
276800	39645	Econ3	18	30.76	803
318800	45145	Econ3	19	35.42	865
364550	50895	Econ3	20	40.51	927
414050	56895	Econ3	21	46.01	990
467300	63145	Econ3	22	51.92	1054
524300	69645	Econ3	23	58.26	1118
585050	76395	Econ3	24	65.01	1184
649550	83395	Econ3	25	72.17	1250
717800	90645	Econ3	26	79.76	1317
789800	98145	Econ3	27	87.76	1385
865550	105895	Econ3	28	96.17	1454
945050	113895	Econ3	29	105.01	1524
1029050	121895	Econ3	30	114.34	1595
1117550	129895	Econ3	31	124.17	1595
1210550	137895	Econ3	32	134.51	1595
1308050	145895	Econ3	33	145.34	1595
1410050	153895	Econ3	34	156.67	1595
1516550	161895	Econ3	35	168.51	1595
1627550	169895	Econ3	36	180.84	1595
1743050	177895	Econ3	37	193.67	1595
1863050	185895	Econ3	38	207.01	1595
1987550	193895	Econ3	39	220.84	1595
2116550	201895	Econ3	40	235.17	1595
