"ltv","ttime","abt","tue"
"{""n"":""250""}","{""n"":""1077572""}","{""n"":""31""}","{""n"":""38""}"
"{""n"":""49""}","{""n"":""60028""}","{""n"":""32""}","{""n"":""15""}"
"{""n"":""680""}","{""n"":""2018285""}","{""n"":""7""}","{""n"":""46""}"
"{""n"":""125""}","{""n"":""98142""}","{""n"":""11""}","{""n"":""15""}"
"{""n"":""450""}","{""n"":""115692""}","{""n"":""9""}","{""n"":""15""}"
"{""n"":""200""}","{""n"":""0""}","{""n"":""27""}","{""n"":""15""}"
"{""n"":""250""}","{""n"":""74007""}","{""n"":""1""}","{""n"":""15""}"
"{""n"":""200""}","{""n"":""243462""}","{""n"":""30""}","{""n"":""25""}"
"{""n"":""300""}","{""n"":""0""}","{""n"":""34""}","{""n"":""15""}"
"{""n"":""385""}","{""n"":""762157""}","{""n"":""59""}","{""n"":""75""}"
"{""n"":""125""}","{""n"":""66507""}","{""n"":""10""}","{""n"":""15""}"
"{""n"":""250""}","{""n"":""7647063""}","{""n"":""15""}","{""n"":""189""}"
"{""n"":""250""}","{""n"":""1706191""}","{""n"":""17""}","{""n"":""44""}"
"{""n"":""1100""}","{""n"":""2659499""}","{""n"":""52""}","{""n"":""266""}"
"{""n"":""250""}","{""n"":""1214192""}","{""n"":""1""}","{""n"":""60""}"
"{""n"":""200""}","{""n"":""0""}","{""n"":""6""}","{""n"":""15""}"
"{""n"":""200""}","{""n"":""3262471""}","{""n"":""37""}","{""n"":""49""}"
"{""n"":""50""}","{""n"":""0""}","{""n"":""16""}","{""n"":""15""}"
"{""n"":""250""}","{""n"":""337217""}","{""n"":""1""}","{""n"":""35""}"
"{""n"":""35""}","{""n"":""0""}","{""n"":""13""}","{""n"":""65""}"
"{""n"":""200""}","{""n"":""1632609""}","{""n"":""17""}","{""n"":""73""}"
"{""n"":""237""}","{""n"":""12389566""}","{""n"":""3""}","{""n"":""257""}"
"{""n"":""300""}","{""n"":""0""}","{""n"":""37""}","{""n"":""15""}"
"{""n"":""200""}","{""n"":""0""}","{""n"":""6""}","{""n"":""15""}"
"{""n"":""200""}","{""n"":""318143""}","{""n"":""10""}","{""n"":""25""}"
"{""n"":""450""}","{""n"":""5836453""}","{""n"":""13""}","{""n"":""116""}"
"{""n"":""229.99999999999997""}","{""n"":""2115980""}","{""n"":""43""}","{""n"":""91""}"
"{""n"":""322""}","{""n"":""1276348""}","{""n"":""26""}","{""n"":""46""}"
"{""n"":""370""}","{""n"":""27489979""}","{""n"":""3""}","{""n"":""815""}"
"{""n"":""200""}","{""n"":""2008""}","{""n"":""26""}","{""n"":""15""}"
"{""n"":""200""}","{""n"":""870119""}","{""n"":""50""}","{""n"":""38""}"
"{""n"":""450""}","{""n"":""2003592""}","{""n"":""50""}","{""n"":""81""}"
"{""n"":""200""}","{""n"":""97834""}","{""n"":""28""}","{""n"":""15""}"
"{""n"":""600""}","{""n"":""584305""}","{""n"":""36""}","{""n"":""24""}"
"{""n"":""49""}","{""n"":""242151""}","{""n"":""28""}","{""n"":""16""}"
